epoch,Response_Classification_acc,Response_Classification_loss,Survival_Rate_loss,Survival_Rate_mean_absolute_error,Treatment_Regress_loss,Treatment_Regress_mean_absolute_error,loss,val_Response_Classification_acc,val_Response_Classification_loss,val_Survival_Rate_loss,val_Survival_Rate_mean_absolute_error,val_Treatment_Regress_loss,val_Treatment_Regress_mean_absolute_error,val_loss
0,0.21028645833333334,11.50038500626882,1919188.1341145833,508.5234088897705,2488274.70703125,856.208740234375,4407474.265625,0.0,6.239035248756409,241238.521039327,220.18473943074545,911297.957611084,789.2424532572428,1152542.7270914714
1,0.2994791666666667,10.246232151985168,297640.765625,320.37978744506836,587887.0182291666,606.502321879069,885538.0416666666,0.7760416666666666,3.4678613549719253,216850.58678690591,232.39550749460855,733261.0110677084,734.5727361043295,950115.0164388021
0,0.3079427083333333,10.084181427955627,857183.7981770834,423.43931833902997,1389224.0755208333,764.9626998901367,2246417.9817708335,0.7786458333333334,3.397389901704552,252952.14915847778,225.17480174700418,821851.4485677084,755.6092338562012,1074806.9886067708
1,0.4609375,8.093092481295267,294828.98828125,320.7145525614421,510215.4557291667,566.0610071818033,805052.5403645834,0.8333333333333334,2.686349332332611,210684.87080891928,250.76019732157388,625228.9069010416,705.6213684082031,835916.4459635416
2,0.55859375,6.724159042040507,260982.42122395834,329.2725079854329,376449.9895833333,498.13514073689777,637439.1393229166,0.8333333333333334,2.686349332332611,197759.87337239584,314.27713267008465,442955.75,643.0477498372396,640718.3203125
0,0.3072916666666667,9.893534183502197,5939046.822916667,560.1140359242758,3877986.25,868.2870890299479,9817042.768229166,0.7552083333333334,3.5172755832487987,243454.58415730795,224.44176864624023,987909.7965494791,828.748861948649,1231367.88671875
1,0.3997395833333333,8.881231168905893,312232.8372395833,329.3390833536784,594172.8294270834,612.8047892252604,906414.5546875,0.8333333333333334,2.6863502673831547,215528.53693644205,231.11079851786295,739015.6165364584,733.8764216105143,954546.8064778646
2,0.443359375,8.217074354489645,261543.61588541666,317.1757170359294,425030.0423177083,512.0704078674316,686581.87890625,0.8333333333333334,2.686349332332623,200292.5625,283.3710060119629,574413.3229166666,690.6633733113607,774708.5677083334
3,0.5546875,6.850798149903615,250156.0390625,338.89294560750324,343647.48828125,476.62657165527344,593810.3815104166,0.8333333333333334,2.686349332332623,196769.70670572916,326.93114471435547,455608.5859375,648.9669901529948,652380.9713541666
4,0.5768229166666666,6.567454536755879,240027.57552083334,353.89252344767254,307998.1119791667,464.7632548014323,548032.2526041666,0.8333333333333334,2.686349332332623,199564.451171875,352.83199310302734,395893.734375,620.3943328857422,595460.875
5,0.6009114583333334,6.312036633491516,237095.51236979166,358.4534276326497,306091.662109375,466.5391019185384,543193.4830729166,0.8333333333333334,2.686349332332623,201568.93880208334,360.72490946451825,378669.2838541667,609.9655303955078,580240.9270833334
6,0.607421875,6.289035816987355,234507.447265625,370.7696189880371,290624.65234375,458.12650807698566,525138.39453125,0.8333333333333334,2.686349332332623,204146.2109375,371.7845942179362,366750.5703125,602.0509236653646,570899.4479166666
7,0.6145833333333334,6.15759030977885,233069.85872395834,373.44968541463214,278211.3873697917,455.0942077636719,511287.4075520833,0.8333333333333334,2.686349332332623,208863.88606770834,391.2396596272786,333837.21875,576.3254750569662,542703.7916666666
8,0.6009114583333334,6.301411310831706,230474.50846354166,377.3459078470866,266552.0364583333,449.6772524515788,497032.8502604167,0.8333333333333334,2.686349332332623,207118.2734375,379.0027669270833,354830.0364583333,593.5800272623698,561950.984375
9,0.6106770833333334,6.164883414904277,231715.18880208334,371.1622594197591,261177.09049479166,444.6681989034017,492898.44140625,0.8333333333333334,2.686349332332623,212391.93619791666,376.42238362630206,351374.4322916667,589.7905883789062,563769.0625
0,0.24283854166666666,11.295982440312704,2317217.71875,491.73493067423504,1259932.9010416667,755.8736826578776,3577161.890625,0.1484375,11.212425589561462,244919.52009328207,222.60881932576498,840379.9031575521,763.0622564951578,1085310.6217447917
1,0.330078125,9.818954606850943,285327.9635416667,321.9181989034017,520727.7395833333,571.2135988871256,806065.5234375,0.8333333333333334,2.686349332332623,203193.15470377603,277.42169825236004,646247.5436197916,714.9089965820312,849443.3860677084
2,0.5052083333333334,7.440261165301005,242570.626953125,335.2336845397949,369409.6393229167,490.8189328511556,611987.7083333334,0.8333333333333334,2.686349332332623,199138.82421875,341.3759358723958,470882.3802083333,657.7166951497396,670023.890625
3,0.5729166666666666,6.586888233820598,227631.37434895834,353.1014175415039,289992.1041666667,447.5822168986003,517630.06640625,0.8333333333333334,2.686349332332623,202946.77473958334,367.67394002278644,394300.65625,620.9628397623698,597250.1302083334
4,0.59765625,6.359023133913676,231145.306640625,367.10355885823566,302898.3938802083,463.665709177653,534050.0559895834,0.8333333333333334,2.686349332332623,204110.43424479166,372.1725031534831,384062.5703125,614.5595448811849,588175.6927083334
5,0.6119791666666666,6.163887123266856,231330.72265625,368.3121198018392,299406.296875,462.50102615356445,530743.1875,0.8333333333333334,2.686349332332623,203164.12890625,365.89322153727215,386679.3697916667,616.2795104980469,589846.1927083334
6,0.6197916666666666,6.102272431055705,234195.44856770834,362.7513656616211,303359.748046875,466.44339243570965,537561.3059895834,0.8333333333333334,2.686349332332623,201328.5546875,353.39510854085285,396609.5390625,622.0763600667318,597940.7708333334
7,0.6178385416666666,6.10556145509084,229044.220703125,358.57687123616535,293676.8951822917,459.5379778544108,522727.21875,0.8333333333333334,2.686349332332623,203408.18619791666,367.6835174560547,383088.4270833333,614.2082926432291,586499.3020833334
8,0.6171875,6.14856602748235,230365.083984375,361.95748138427734,283101.9055989583,453.116392771403,513473.1419270833,0.8333333333333334,2.686349332332623,203433.22200520834,366.07427978515625,381909.5729166667,613.397450764974,585345.484375
9,0.6204427083333334,6.084063371022542,223342.294921875,360.24775377909344,269985.4466145833,438.7414360046387,493333.8294270833,0.8333333333333334,2.686349332332623,207532.69856770834,373.5599543253581,373866.46875,608.3016560872396,581401.8645833334
10,0.6236979166666666,6.055327137311299,231258.34244791666,370.25629806518555,285240.7890625,457.3893407185872,516505.1875,0.8333333333333334,2.686349332332623,214537.70377604166,383.9244689941406,363734.8125,601.2105814615885,578275.2135416666
11,0.6217447916666666,6.071937421957652,227625.29947916666,373.3996404012044,267261.666015625,448.69237263997394,494893.0403645833,0.8333333333333334,2.686349332332623,216059.2265625,378.5789566040039,377789.875,611.0394490559896,593851.78125
12,0.625,6.032080749670665,227288.84765625,372.90994517008465,260075.43229166666,441.1007537841797,487370.31640625,0.8333333333333334,2.686349332332623,218220.064453125,358.81539662679035,405982.1458333333,627.5655415852865,624204.9010416666
13,0.6158854166666666,6.17452069123586,228505.01236979166,375.7586975097656,253121.03841145834,440.0161895751953,481632.23046875,0.8333333333333334,2.686349332332623,206969.82291666666,384.85121663411456,358604.6927083333,597.6556701660156,565577.203125
14,0.62109375,6.096343626578649,215615.42317708334,368.41319529215497,242750.833984375,435.3245328267415,458372.3528645833,0.8333333333333334,2.686349332332623,212673.61848958334,397.2873179117839,346973.8802083333,588.0374450683594,559650.1875
15,0.6204427083333334,6.0937738219896955,218643.482421875,372.4896761576335,238824.30989583334,433.280824025472,457473.8841145833,0.8333333333333334,2.686349332332623,219595.89453125,393.31445058186847,359937.9010416667,595.7349853515625,579536.4895833334
16,0.6158854166666666,6.161831021308899,222451.76627604166,375.5590413411458,238218.07161458334,430.34068552652997,460676.0026041667,0.8333333333333334,2.686349332332623,211726.71158854166,365.9205042521159,393457.5208333333,620.4890950520834,605186.921875
17,0.623046875,6.06626699368159,216123.849609375,372.1533025105794,239286.23567708334,435.5921122233073,455416.1510416667,0.8333333333333334,2.686349332332623,210030.849609375,363.3963979085286,392896.0833333333,618.992930094401,602929.625
18,0.6197916666666666,6.115206221739451,218415.94759114584,375.20752843221027,240107.595703125,432.7921511332194,458529.6588541667,0.8333333333333334,2.686349332332623,231144.44986979166,384.7173538208008,393858.9270833333,611.0612487792969,625006.0677083334
19,0.615234375,6.196435948212941,217374.95052083334,366.72853978474933,231882.68424479166,429.12309010823566,449263.8333333333,0.8333333333333334,2.686349332332623,219845.6328125,381.9496815999349,365849.2239583333,598.258799235026,585697.5520833334
20,0.6197916666666666,6.122690776983897,210118.89908854166,367.56794357299805,228261.30143229166,425.29492060343426,438386.3216145833,0.8385416666666666,2.575455288092307,235613.609375,417.89930725097656,349039.3854166667,579.4354502360026,584655.5625
21,0.6184895833333334,6.136070628960927,212219.84505208334,373.9169553120931,233058.54361979166,427.96663029988605,445284.5208333333,0.8333333333333334,2.686349332332623,226702.88802083334,410.0713144938151,346549.2916666667,583.1724039713541,573254.8541666666
22,0.6204427083333334,6.115111937125524,221673.19986979166,376.8834342956543,234926.6796875,431.21373748779297,456605.9908854167,0.8359375,2.644380033016217,223488.61848958334,384.89788818359375,369123.5,599.9514973958334,592614.7604166666
23,0.6171875,6.162892917792003,212968.57552083334,367.09013748168945,222169.92838541666,419.93433888753253,435144.6653645833,0.8333333333333334,2.686349332332623,223892.2265625,388.6581573486328,374830.5416666667,605.2411397298177,598725.453125
