epoch,Response_Classification_acc,Response_Classification_loss,Survival_Rate_loss,Survival_Rate_mean_absolute_error,Treatment_Regress_loss,Treatment_Regress_mean_absolute_error,loss,val_Response_Classification_acc,val_Response_Classification_loss,val_Survival_Rate_loss,val_Survival_Rate_mean_absolute_error,val_Treatment_Regress_loss,val_Treatment_Regress_mean_absolute_error,val_loss
0,0.4927616926503341,7.387603455868244,0.4755011135857461,7.7447107370552875,0.38084632516703787,9.10522475168275,26.323029273867874,0.7037861915367484,4.774402503977905,0.7037861915367484,4.774402503977905,0.5055679287305123,7.969642140021043,18.975324539405467
1,0.5451002227171492,6.910964482279291,0.4844097995545657,7.748094645890932,0.39532293986636974,9.309188327704346,25.026904921754696,0.7037861915367484,4.774402503977905,0.6815144766146993,5.082198665773951,0.5055679287305123,7.969303349875135,18.564215899044793
2,0.5540089086859689,6.791754246289056,0.4710467706013363,7.870769874555762,0.38752783964365256,9.309160255907903,24.63344384514144,0.7037861915367484,4.774402503977905,0.7037861915367484,4.774402503977905,0.5100222717149221,7.809480936861787,17.915815816424736
3,0.544543429844098,6.804499717491507,0.505011135857461,7.409024192358378,0.405902004454343,8.840979942500192,23.563955171071076,0.6792873051224945,5.147160939465719,0.6792873051224945,5.139784551941207,0.40757238307349664,8.806231888770416,19.65939792386673
4,0.5462138084632516,6.827853247560643,0.5189309576837416,7.31993652319324,0.4354120267260579,8.454882326365961,23.101401828179647,0.7037861915367484,4.774402503977905,0.6703786191536748,5.257756290603127,0.5657015590200446,6.233720570466678,16.70248174103172
5,0.5517817371937639,6.759295553713363,0.5116926503340757,7.336769717573323,0.45044543429844097,8.424930400466069,22.936822254036475,0.7037861915367484,4.774402508756899,0.5567928730512249,7.103018344643387,0.512249443207127,7.63527895108629,19.921914511109247
6,0.5506681514476615,6.6087860570060775,0.5306236080178174,7.152912203612465,0.4821826280623608,7.724611622188033,21.85597673768721,0.7037861915367484,4.774402503977905,0.6859688195991092,5.057432544523464,0.6904231625835189,4.273786984608587,14.447139127217316
7,0.544543429844098,6.601826168912026,0.5261692650334076,7.121596412828611,0.4710467706013363,8.089403965159885,22.232142374085424,0.7037861915367484,4.548682028570881,0.38084632516703787,9.569533541531017,0.5634743875278396,6.814191678451802,21.394594843509733
8,0.5451002227171492,6.444901861018218,0.5267260579064588,7.083504593982994,0.5105790645879733,7.487156411852762,21.511988361588035,0.7037861915367484,4.774402503977905,0.6770601336302895,5.144790777119337,0.5679287305122495,6.764041930370714,17.238950058187303
9,0.5389755011135857,6.471383736264136,0.5061247216035635,7.473429422352654,0.5256124721603563,7.305920308592075,21.75566883766837,0.7037861915367484,4.774402503977905,0.7037861915367484,4.774402503977905,0.5456570155902004,7.241093606089072,17.38243963245825
10,0.5439866369710468,6.490121129626421,0.4927616926503341,7.827065962725599,0.48942093541202675,7.660551039464689,22.52108268058114,0.6302895322939867,4.653055352001526,0.7037861915367484,4.774402503977905,0.5857461024498887,6.483755010507627,16.39383385069917
11,0.5606904231625836,5.915608010474925,0.5200445434298441,7.198168945604549,0.4905345211581292,7.608722678006093,21.177473662956256,0.7037861915367484,4.774402503977905,0.6347438752783965,5.077449816607617,0.5879732739420935,6.396687148237469,16.70540203336618
12,0.5523385300668151,5.334766866635108,0.5144766146993318,7.244920360373503,0.5144766146993318,7.4309405898198255,20.459079387724266,0.7037861915367484,2.5432091342226992,0.7037861915367484,4.774402503977905,0.6570155902004454,5.3552958383871525,13.116396162186009
13,0.5133630289532294,4.439536648464363,0.5038975501113586,7.497102757671097,0.5261692650334076,7.088566259711251,19.470380309429892,0.7037861915367484,0.6793668461270747,0.7037861915367484,4.774402503977905,0.5211581291759465,7.588803631160206,13.477505826206675
14,0.5261692650334076,3.753196422462839,0.5239420935412027,7.03071210624646,0.5183741648106904,7.296028991393331,18.497587694622627,0.7037861915367484,0.7869331170462553,0.7037861915367484,4.774402503977905,0.512249443207127,7.808631168906572,13.792497937557162
15,0.5239420935412027,3.6087053458648164,0.5183741648106904,7.14554818771066,0.5077951002227171,7.271587126857246,18.463079122233232,0.6414253897550112,0.8007050650837294,0.6503340757238307,4.837124680582368,0.5902004454342984,5.747742975537424,11.84138385808813
16,0.5334075723830735,3.4929751857683757,0.5244988864142539,6.7484151529841006,0.5484409799554566,6.480428949960899,17.145643138673098,0.7037861915367484,0.7246372250379592,0.7037861915367484,4.774402503977905,0.48329621380846327,8.177756341550767,14.08653151484534
17,0.5573496659242761,3.3235230881944795,0.5473273942093542,5.905804765026214,0.5306236080178174,6.559718693757973,16.212784049240145,0.512249443207127,0.9374069267498093,0.5278396436525612,5.571012184785677,0.49443207126948774,7.766717675985032,14.697146931841537
18,0.5439866369710468,3.041806288378807,0.5545657015590201,4.700688691475825,0.5456570155902004,6.212567628615169,14.391790859417819,0.29398663697104677,6.663961933556537,0.42538975501113585,6.399849080038828,0.3028953229398664,6.654036511473442,20.189339905379875
